case_id,name,category,expected_effect,expected_reason_code,tool,operation,risk_level,data_level,input_json
APPROVAL_01,大额对公付款,approval_required,require_approval,A001_HIGH_RISK,payment.transfer,transfer,high,internal,"{""request_id"":""req-approval-01"",""task_id"":""task-approval-01"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""finance-001"",""type"":""user"",""department"":""财务部"",""roles"":[""finance_operator""],""clearance"":2,""mfa"":true},""action"":{""tool"":""payment.transfer"",""operation"":""transfer"",""resource"":""erp://payments/supplier-A"",""parameters"":{""amount"":5000,""currency"":""CNY""},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
APPROVAL_02,小额付款仍需关键操作确认,approval_required,require_approval,A002_SENSITIVE_OPERATION,payment.transfer,transfer,medium,internal,"{""request_id"":""req-approval-02"",""task_id"":""task-approval-02"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""finance-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""finance_operator""],""clearance"":2,""mfa"":true},""action"":{""tool"":""payment.transfer"",""operation"":""transfer"",""resource"":""erp://payments/supplier-B"",""parameters"":{""amount"":100,""currency"":""CNY""},""risk_level"":""medium"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
APPROVAL_03,写入档案文件,approval_required,require_approval,A001_HIGH_RISK,file.write,write,high,internal,"{""request_id"":""req-approval-03"",""task_id"":""task-approval-03"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""records-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""records_admin""],""clearance"":2,""mfa"":true},""action"":{""tool"":""file.write"",""operation"":""write"",""resource"":""/workspace/records/a.txt"",""parameters"":{""content_length"":200},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
APPROVAL_04,删除档案文件,approval_required,require_approval,A001_HIGH_RISK,file.write,delete,high,internal,"{""request_id"":""req-approval-04"",""task_id"":""task-approval-04"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""records-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""records_admin""],""clearance"":2,""mfa"":true},""action"":{""tool"":""file.write"",""operation"":""delete"",""resource"":""/workspace/records/old.txt"",""parameters"":{},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
APPROVAL_05,向合作方发送内部数据,approval_required,require_approval,A001_HIGH_RISK,email.send,send_external,high,internal,"{""request_id"":""req-approval-05"",""task_id"":""task-approval-05"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""user-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""office_user""],""clearance"":1,""mfa"":true},""action"":{""tool"":""email.send"",""operation"":""send_external"",""resource"":""mailto:partner@example"",""parameters"":{""host"":""mail.partner.example""},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""external"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
APPROVAL_06,导出机密档案,approval_required,require_approval,A001_HIGH_RISK,database.query,export,high,confidential,"{""request_id"":""req-approval-06"",""task_id"":""task-approval-06"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""records-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""records_admin""],""clearance"":2,""mfa"":true},""action"":{""tool"":""database.query"",""operation"":""export"",""resource"":""db://records/confidential"",""parameters"":{""item_count"":500},""risk_level"":""high"",""data_level"":""confidential""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
APPROVAL_07,在沙箱中执行安全运维命令,approval_required,require_approval,A001_HIGH_RISK,shell.execute,execute,high,internal,"{""request_id"":""req-approval-07"",""task_id"":""task-approval-07"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""ops-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""ops_engineer""],""clearance"":3,""mfa"":true},""action"":{""tool"":""shell.execute"",""operation"":""execute"",""resource"":""host://prod-app-01"",""parameters"":{""command"":""Get-Service""},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":true,""profile"":""gvisor-restricted""}},""approval"":{}}"
APPROVAL_08,部署内部接口配置,approval_required,require_approval,A001_HIGH_RISK,api.call,deploy,high,internal,"{""request_id"":""req-approval-08"",""task_id"":""task-approval-08"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""ops-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""ops_engineer""],""clearance"":2,""mfa"":true},""action"":{""tool"":""api.call"",""operation"":""deploy"",""resource"":""https://deploy.internal/v1"",""parameters"":{""host"":""deploy.internal""},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
APPROVAL_09,在隔离浏览器提交外部表单,approval_required,require_approval,A001_HIGH_RISK,browser.automate,submit,high,internal,"{""request_id"":""req-approval-09"",""task_id"":""task-approval-09"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""ops-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""ops_engineer""],""clearance"":2,""mfa"":true},""action"":{""tool"":""browser.automate"",""operation"":""submit"",""resource"":""https://api.gov.cn/form"",""parameters"":{""host"":""api.gov.cn""},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""external"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":true,""profile"":""gvisor-restricted""}},""approval"":{}}"
APPROVAL_10,非工作时段的中风险查询,approval_required,require_approval,A005_OUT_OF_HOURS,database.query,query,medium,internal,"{""request_id"":""req-approval-10"",""task_id"":""task-approval-10"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""user-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""office_user""],""clearance"":1,""mfa"":true},""action"":{""tool"":""database.query"",""operation"":""query"",""resource"":""db://public/notices"",""parameters"":{""limit"":20,""item_count"":20},""risk_level"":""medium"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":false,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
APPROVAL_11,超过上限的批量查询,approval_required,require_approval,A006_BULK_OPERATION,database.query,query,low,internal,"{""request_id"":""req-approval-11"",""task_id"":""task-approval-11"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""user-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""office_user""],""clearance"":1,""mfa"":true},""action"":{""tool"":""database.query"",""operation"":""query"",""resource"":""db://public/notices"",""parameters"":{""limit"":5000,""item_count"":5000},""risk_level"":""low"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
APPROVAL_12,读取机密档案,approval_required,require_approval,A004_SENSITIVE_DATA,file.read,read,medium,confidential,"{""request_id"":""req-approval-12"",""task_id"":""task-approval-12"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""records-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""records_admin""],""clearance"":2,""mfa"":true},""action"":{""tool"":""file.read"",""operation"":""read"",""resource"":""/workspace/records/confidential.txt"",""parameters"":{},""risk_level"":""medium"",""data_level"":""confidential""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{}}"
APPROVED_01,有效审批后一次性执行：大额对公付款,valid_approval_allow,allow,L002_VALID_APPROVAL,payment.transfer,transfer,high,internal,"{""request_id"":""req-approved-01"",""task_id"":""task-approved-01"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""finance-001"",""type"":""user"",""department"":""财务部"",""roles"":[""finance_operator""],""clearance"":2,""mfa"":true},""action"":{""tool"":""payment.transfer"",""operation"":""transfer"",""resource"":""erp://payments/supplier-A"",""parameters"":{""amount"":5000,""currency"":""CNY""},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{""approval_id"":""approval-task-approved-01"",""status"":""approved"",""approver_id"":""approver-001"",""approver_roles"":[""business_approver""],""task_id"":""task-approved-01"",""action_digest"":""32e277b0f1d12e97cc3bea75223ff5acaebab960c2f11953e1673df25e97cca6"",""expires_at"":""2026-08-04T10:30:00Z"",""max_uses"":1,""use_count"":0}}"
APPROVED_02,有效审批后一次性执行：小额付款仍需关键操作确认,valid_approval_allow,allow,L002_VALID_APPROVAL,payment.transfer,transfer,medium,internal,"{""request_id"":""req-approved-02"",""task_id"":""task-approved-02"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""finance-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""finance_operator""],""clearance"":2,""mfa"":true},""action"":{""tool"":""payment.transfer"",""operation"":""transfer"",""resource"":""erp://payments/supplier-B"",""parameters"":{""amount"":100,""currency"":""CNY""},""risk_level"":""medium"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{""approval_id"":""approval-task-approved-02"",""status"":""approved"",""approver_id"":""approver-001"",""approver_roles"":[""business_approver""],""task_id"":""task-approved-02"",""action_digest"":""8f6b90d09dc3cf0203380fe59dda8a31aaa3fe91785deb457f03522b5263a8b5"",""expires_at"":""2026-08-04T10:30:00Z"",""max_uses"":1,""use_count"":0}}"
APPROVED_03,有效审批后一次性执行：写入档案文件,valid_approval_allow,allow,L002_VALID_APPROVAL,file.write,write,high,internal,"{""request_id"":""req-approved-03"",""task_id"":""task-approved-03"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""records-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""records_admin""],""clearance"":2,""mfa"":true},""action"":{""tool"":""file.write"",""operation"":""write"",""resource"":""/workspace/records/a.txt"",""parameters"":{""content_length"":200},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{""approval_id"":""approval-task-approved-03"",""status"":""approved"",""approver_id"":""approver-001"",""approver_roles"":[""business_approver""],""task_id"":""task-approved-03"",""action_digest"":""9d32d4f3b51ae55ad48f605e7079a3bb9108d023d3327023fb3208112e89067e"",""expires_at"":""2026-08-04T10:30:00Z"",""max_uses"":1,""use_count"":0}}"
APPROVED_04,有效审批后一次性执行：删除档案文件,valid_approval_allow,allow,L002_VALID_APPROVAL,file.write,delete,high,internal,"{""request_id"":""req-approved-04"",""task_id"":""task-approved-04"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""records-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""records_admin""],""clearance"":2,""mfa"":true},""action"":{""tool"":""file.write"",""operation"":""delete"",""resource"":""/workspace/records/old.txt"",""parameters"":{},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{""approval_id"":""approval-task-approved-04"",""status"":""approved"",""approver_id"":""approver-001"",""approver_roles"":[""business_approver""],""task_id"":""task-approved-04"",""action_digest"":""b380918932db8fe4cb51d800d046fa3a53cd71b3e9aa141989f5cd3154040b61"",""expires_at"":""2026-08-04T10:30:00Z"",""max_uses"":1,""use_count"":0}}"
APPROVED_05,有效审批后一次性执行：向合作方发送内部数据,valid_approval_allow,allow,L002_VALID_APPROVAL,email.send,send_external,high,internal,"{""request_id"":""req-approved-05"",""task_id"":""task-approved-05"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""user-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""office_user""],""clearance"":1,""mfa"":true},""action"":{""tool"":""email.send"",""operation"":""send_external"",""resource"":""mailto:partner@example"",""parameters"":{""host"":""mail.partner.example""},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""external"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{""approval_id"":""approval-task-approved-05"",""status"":""approved"",""approver_id"":""approver-001"",""approver_roles"":[""business_approver""],""task_id"":""task-approved-05"",""action_digest"":""d2eaf27db828db304f9bce6a85c1b132746d1a2317eb3f32d2e9008b17553d6f"",""expires_at"":""2026-08-04T10:30:00Z"",""max_uses"":1,""use_count"":0}}"
APPROVED_06,有效审批后一次性执行：导出机密档案,valid_approval_allow,allow,L002_VALID_APPROVAL,database.query,export,high,confidential,"{""request_id"":""req-approved-06"",""task_id"":""task-approved-06"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""records-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""records_admin""],""clearance"":2,""mfa"":true},""action"":{""tool"":""database.query"",""operation"":""export"",""resource"":""db://records/confidential"",""parameters"":{""item_count"":500},""risk_level"":""high"",""data_level"":""confidential""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{""approval_id"":""approval-task-approved-06"",""status"":""approved"",""approver_id"":""approver-001"",""approver_roles"":[""business_approver""],""task_id"":""task-approved-06"",""action_digest"":""32a6de4962e51976c6f29fac8dc0455dc982f00665532e451bbe0140cca42946"",""expires_at"":""2026-08-04T10:30:00Z"",""max_uses"":1,""use_count"":0}}"
APPROVED_07,有效审批后一次性执行：在沙箱中执行安全运维命令,valid_approval_allow,allow,L002_VALID_APPROVAL,shell.execute,execute,high,internal,"{""request_id"":""req-approved-07"",""task_id"":""task-approved-07"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""ops-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""ops_engineer""],""clearance"":3,""mfa"":true},""action"":{""tool"":""shell.execute"",""operation"":""execute"",""resource"":""host://prod-app-01"",""parameters"":{""command"":""Get-Service""},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":true,""profile"":""gvisor-restricted""}},""approval"":{""approval_id"":""approval-task-approved-07"",""status"":""approved"",""approver_id"":""approver-001"",""approver_roles"":[""business_approver""],""task_id"":""task-approved-07"",""action_digest"":""32ba92a15b73378bffcc155a6fabbc169f5cc78506eefc773226543d336f38f9"",""expires_at"":""2026-08-04T10:30:00Z"",""max_uses"":1,""use_count"":0}}"
APPROVED_08,有效审批后一次性执行：部署内部接口配置,valid_approval_allow,allow,L002_VALID_APPROVAL,api.call,deploy,high,internal,"{""request_id"":""req-approved-08"",""task_id"":""task-approved-08"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""ops-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""ops_engineer""],""clearance"":2,""mfa"":true},""action"":{""tool"":""api.call"",""operation"":""deploy"",""resource"":""https://deploy.internal/v1"",""parameters"":{""host"":""deploy.internal""},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""internal"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":false,""profile"":""""}},""approval"":{""approval_id"":""approval-task-approved-08"",""status"":""approved"",""approver_id"":""approver-001"",""approver_roles"":[""business_approver""],""task_id"":""task-approved-08"",""action_digest"":""5c17adf986f8315c52d08dbd9555ac394f9324427552e71b74d61158a5c116c3"",""expires_at"":""2026-08-04T10:30:00Z"",""max_uses"":1,""use_count"":0}}"
APPROVED_09,有效审批后一次性执行：在隔离浏览器提交外部表单,valid_approval_allow,allow,L002_VALID_APPROVAL,browser.automate,submit,high,internal,"{""request_id"":""req-approved-09"",""task_id"":""task-approved-09"",""timestamp"":""2026-08-04T10:00:00Z"",""subject"":{""id"":""ops-001"",""type"":""user"",""department"":""综合办公室"",""roles"":[""ops_engineer""],""clearance"":2,""mfa"":true},""action"":{""tool"":""browser.automate"",""operation"":""submit"",""resource"":""https://api.gov.cn/form"",""parameters"":{""host"":""api.gov.cn""},""risk_level"":""high"",""data_level"":""internal""},""context"":{""source"":""mcp"",""server_time"":""2026-08-04T10:00:00Z"",""destination_zone"":""external"",""enforcement_point"":""gateway"",""business_hours"":true,""repeat_count"":0},""environment"":{""sandbox"":{""enabled"":true,""profile"":""gvisor-restricted""}},""approval"":{""approval_id"":""approval-task-approved-09"",""status"":""approved"",""approver_id"":""approver-001"",""approver_roles"":[""business_approver""],""task_id"":""task-approved-09"",""action_digest"":""d6b1da2c4d786d74ef7a7af548f9e6b9625ea805dc01032bb46ddf16f49d2692"",""expires_at"":""2026-08-04T10:30:00Z"",""max_uses"":1,""use_count"":0}}"
