case_id,name,category,expected_effect,actual_effect,effect_correct,expected_reason_code,actual_reason_codes,reason_correct,risk_score,latency_ms_cli_e2e
APPROVED_10,有效审批后一次性执行：非工作时段的中风险查询,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,55,75.546
APPROVED_11,有效审批后一次性执行：超过上限的批量查询,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,35,73.953
APPROVED_12,有效审批后一次性执行：读取机密档案,valid_approval_allow,allow,allow,True,L002_VALID_APPROVAL,L002_VALID_APPROVAL,True,45,73.27
DENY_01,未知工具,hard_deny,deny,deny,True,D002_UNTRUSTED_TOOL,D002_UNTRUSTED_TOOL,True,20,67.189
DENY_02,停用的第三方插件,hard_deny,deny,deny,True,D002_UNTRUSTED_TOOL,D002_UNTRUSTED_TOOL,True,20,74.622
DENY_03,办公人员越权付款,hard_deny,deny,deny,True,D003_ROLE_FORBIDDEN,D003_ROLE_FORBIDDEN,True,70,72.984
DENY_04,密级不足读取秘密数据,hard_deny,deny,deny,True,D004_CLEARANCE_INSUFFICIENT,D004_CLEARANCE_INSUFFICIENT,True,20,68.734
DENY_05,普通用户读取系统保护文件,hard_deny,deny,deny,True,D005_PROTECTED_RESOURCE,D005_PROTECTED_RESOURCE,True,20,76.945
DENY_06,秘密数据外发,hard_deny,deny,deny,True,D006_SENSITIVE_EXTERNAL_TRANSFER,D006_SENSITIVE_EXTERNAL_TRANSFER,True,80,72.193
DENY_07,Linux 破坏性删除命令,hard_deny,deny,deny,True,D007_DANGEROUS_COMMAND,D007_DANGEROUS_COMMAND,True,90,76.438
DENY_08,PowerShell 递归删除命令,hard_deny,deny,deny,True,D007_DANGEROUS_COMMAND,D007_DANGEROUS_COMMAND,True,90,68.579
DENY_09,高风险命令未进入沙箱,hard_deny,deny,deny,True,D008_SANDBOX_REQUIRED,D008_SANDBOX_REQUIRED,True,70,70.782
DENY_10,绕过统一网关直接调用,hard_deny,deny,deny,True,D009_GATEWAY_BYPASS,D009_GATEWAY_BYPASS,True,20,67.781
DENY_11,任务链异常重复执行,hard_deny,deny,deny,True,D010_ANOMALOUS_REPEAT,D010_ANOMALOUS_REPEAT,True,40,74.076
DENY_12,访问未列入白名单的外部主机,hard_deny,deny,deny,True,D011_EGRESS_NOT_ALLOWED,D011_EGRESS_NOT_ALLOWED,True,55,78.199
DENY_13,请求缺少主体标识,hard_deny,deny,deny,True,D001_MISSING_FIELD,D001_MISSING_FIELD,True,20,72.177
INVALID_01,审批后篡改付款金额,invalid_approval,deny,deny,True,D103_APPROVAL_ACTION_TAMPERED,D103_APPROVAL_ACTION_TAMPERED,True,70,73.101
INVALID_02,跨任务复用审批,invalid_approval,deny,deny,True,D102_APPROVAL_TASK_MISMATCH,D102_APPROVAL_TASK_MISMATCH|D103_APPROVAL_ACTION_TAMPERED,True,70,76.734
INVALID_03,使用过期审批,invalid_approval,deny,deny,True,D104_APPROVAL_EXPIRED,D104_APPROVAL_EXPIRED,True,70,75.705
INVALID_04,发起人自我审批,invalid_approval,deny,deny,True,D105_SELF_APPROVAL,D105_SELF_APPROVAL,True,70,74.496
INVALID_05,无审批权限人员批准,invalid_approval,deny,deny,True,D106_APPROVER_FORBIDDEN,D106_APPROVER_FORBIDDEN,True,70,70.806
INVALID_06,一次性审批被重复使用,invalid_approval,deny,deny,True,D107_APPROVAL_REUSED,D107_APPROVAL_REUSED,True,70,75.606
INVALID_07,提交被拒绝的审批,invalid_approval,deny,deny,True,D101_APPROVAL_STATUS,D101_APPROVAL_STATUS,True,70,73.397
INVALID_08,将一次性审批改成多次使用,invalid_approval,deny,deny,True,D107_APPROVAL_REUSED,D107_APPROVAL_REUSED,True,70,74.727
